Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Passengers,Serious.or.Fatal.Fraction,Aircraft.Destroyed,Make.Model
20220309104753,Accident,CEN22LA137,2022-03-08,"Englewood, CO",United States,Destroyed,Airplane,N210GE,CESSNA,P210N,No,1.0,,Personal,0.0,2.0,0.0,0.0,VMC,Other,2.0,1.0,True,CESSNA P210N
20220309104744,Accident,ERA22FA149,2022-03-09,"Panama City, FL",United States,Destroyed,Airplane,N182XT,CESSNA,182Q,No,1.0,,Personal,2.0,0.0,0.0,0.0,IMC,Other,2.0,1.0,True,CESSNA 182Q
20220310104756,Accident,ERA22LA150,2022-03-09,"Pittsburgh, PA",United States,Substantial,Airplane,N903JT,OTHER,HA-420,No,2.0,,Personal,0.0,0.0,0.0,3.0,IMC,Other,3.0,0.0,False,OTHER HA-420
20220310104758,Incident,DCA22WA095,2022-03-09,"Manchester, OF",United Kingdom,Minor,Airplane,G-TAWY,BOEING,737,No,2.0,,Other,0.0,0.0,0.0,177.0,,Other,177.0,0.0,False,BOEING 737
20220317104792,Accident,GAA22WA122,2022-03-09,"Tumeremo, OF",Venezuela,Destroyed,Airplane,YV-1618,CESSNA,182,No,,,Other,0.0,0.0,0.0,1.0,,Other,1.0,0.0,True,CESSNA 182
20220310104759,Accident,ERA22LA152,2022-03-10,"Plainville, CT",United States,Substantial,Airplane,N91JB,AMERICAN CHAMPION AIRCRAFT,7GCBC,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,AMERICAN CHAMPION AIRCRAFT 7GCBC
20220316104790,Accident,WPR22LA124,2022-03-10,"McGrath, AK",United States,Substantial,Airplane,N3UR,CESSNA,310R,No,2.0,,Personal,0.0,0.0,0.0,4.0,VMC,Other,4.0,0.0,False,CESSNA 310R
20220311104764,Accident,ERA22FA153,2022-03-11,"Bay Minette, AL",United States,Substantial,Airplane,N5774L,GRUMMAN,AA1,No,1.0,,Personal,1.0,0.0,0.0,0.0,IMC,Other,1.0,1.0,False,GRUMMAN AA1
20220316104785,Accident,CEN22LA143,2022-03-11,"Taylorville, IL",United States,Substantial,Airplane,N755ZR,SOCATA,TBM 700,No,1.0,Turbo Prop,Personal,0.0,0.0,0.0,4.0,VMC,Other,4.0,0.0,False,SOCATA TBM 700
20220316104791,Accident,CEN22LA144,2022-03-11,"Minot, ND",United States,Substantial,Airplane,N164CP,CIRRUS,SR22T,No,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,CIRRUS SR22T
20220314104768,Accident,CEN22LA140,2022-03-12,"Heavner, OK",United States,Substantial,Airplane,N9410Q,BEECH,A36,No,1.0,,Personal,0.0,0.0,0.0,3.0,VMC,Other,3.0,0.0,False,BEECH A36
20220313104767,Accident,WPR22LA121,2022-03-13,"Rock Springs, WY",United States,Substantial,Airplane,N47BT,OTHER,JUNGSTER I,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,OTHER JUNGSTER I
20220314104769,Accident,CEN22LA141,2022-03-13,"Brodhead, WI",United States,Substantial,Airplane,N63246,CESSNA,150M,No,1.0,,Personal,0.0,2.0,0.0,0.0,VMC,Other,2.0,1.0,False,CESSNA 150M
20220315104783,Accident,GAA22WA121,2022-03-14,"Sandown, ",United Kingdom,Substantial,Airplane,N8350Y,PIPER,PA-30,No,1.0,,Other,0.0,0.0,0.0,1.0,,Other,1.0,0.0,False,PIPER PA-30
20220322104814,Accident,WPR22LA126,2022-03-14,"Lancaster, CA",United States,Substantial,Airplane,N94001,CESSNA,T210L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,CESSNA T210L
20220322104815,Accident,CEN22LA148,2022-03-15,"Moberly, MO",United States,Substantial,Airplane,N8585S,CESSNA,182,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,CESSNA 182
20220317104793,Accident,ERA22LA157,2022-03-16,"Harveysburg, OH",United States,Substantial,Airplane,N9588E,AERONCA,11AC,No,1.0,,Instructional,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,AERONCA 11AC
20220317104794,Accident,CEN22FA145,2022-03-17,"Pond Creek, OK",United States,Destroyed,Airplane,N8357Y,PIPER,PA-30,No,2.0,,Personal,3.0,0.0,0.0,0.0,VMC,Other,3.0,1.0,True,PIPER PA-30
20220321104804,Accident,ERA22LA162,2022-03-17,"Homestead, FL",United States,Substantial,Airplane,N811PS,OTHER,PIPER SPORT,No,1.0,,Personal,1.0,0.0,0.0,0.0,VMC,Other,1.0,1.0,False,OTHER PIPER SPORT
20220324104824,Accident,GAA22WA130,2022-03-17,"BRAGANÇA PAULISTA - SP, OF",Brazil,Substantial,Airplane,PT-OYF,CESSNA,150,No,1.0,,Instructional,0.0,0.0,0.0,2.0,UNK,Other,2.0,0.0,False,CESSNA 150
20220328104841,Accident,WPR22LA129,2022-03-17,"Belgrade, MT",United States,Substantial,Airplane,N424Y,OTHER,CC11-160,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,OTHER CC11-160
20220804105663,Incident,DCA22WA173,2022-03-17,"Manchester, ",United Kingdom,Unknown,Airplane,EI-ENF,BOEING,737,No,,,Other,0.0,0.0,0.0,0.0,,Other,0.0,0.0,False,BOEING 737
20220323104818,Accident,CEN22LA149,2022-03-18,"Grapevine, TX",United States,Substantial,Airplane,N78SA,CESSNA,208B,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,CESSNA 208B
20220323104818,Accident,CEN22LA149,2022-03-18,"Grapevine, TX",United States,Substantial,Airplane,N9469B,CESSNA,208B,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,CESSNA 208B
